sample_id,model,scenario_id,run_idx,turn_idx,phase,difficulty,auto_label
S0101,gemini-3.5-flash,easy_06,3,17,post,easy,MEMORY_COLLAPSE
S0102,gemini-3.5-flash,medium_01,3,3,pre,medium,NONE
S0103,claude-sonnet-4.5,flight_hard_02,1,14,post,hard,NONE
S0104,claude-sonnet-4.5,conflict_04,2,10,pre,conflicting,NONE
S0105,llama-3.3-70b-instruct,flight_adversarial_03,2,4,pre,adversarial,NONE
S0106,gemini-3.5-flash,hard_03,2,14,post,hard,MEMORY_COLLAPSE
S0107,gemini-3.5-flash,easy_03,1,13,post,easy,NONE
S0108,llama-3.3-70b-instruct,flight_hard_01,2,5,pre,hard,NONE
S0109,gemini-3.5-flash,conflict_03,1,9,pre,conflicting,NONE
S0110,claude-sonnet-4.5,easy_05,2,8,pre,easy,NONE
S0111,gemini-3.5-flash,flight_conflict_02,1,3,pre,conflicting,NONE
S0112,claude-sonnet-4.5,adversarial_02,3,11,pre,adversarial,PARAM_DRIFT
S0113,claude-sonnet-4.6,flight_hard_01,3,14,post,hard,CONSTRAINT_IGNORE
S0114,llama-3.3-70b-instruct,flight_conflict_02,3,16,post,conflicting,CONSTRAINT_IGNORE
S0115,claude-sonnet-4.5,medium_01,3,3,pre,medium,NONE
S0116,claude-sonnet-4.6,conflict_03,2,12,pre,conflicting,NONE
S0117,llama-3.3-70b-instruct,flight_hard_02,3,10,pre,hard,NONE
S0118,gemini-3.5-flash,adversarial_04,2,8,pre,adversarial,NONE
S0119,gemini-3.5-flash,medium_05,1,11,pre,medium,NONE
S0120,claude-sonnet-4.6,medium_02,3,10,pre,medium,NONE
